V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,
0%,1%,0%,0%,54%,0%,0%,0%,1%,0%,0%,0%,13%,0%,0%,10%,0%,0%,0%,19%,
0%,0%,89%,0%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,2%,0%,1%,0%,3%,
0%,7%,0%,2%,23%,0%,1%,0%,0%,1%,0%,0%,40%,0%,0%,2%,0%,0%,0%,24%,
0%,2%,6%,1%,0%,0%,2%,0%,1%,0%,0%,7%,0%,0%,38%,12%,5%,1%,0%,25%,
29%,0%,0%,0%,66%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,1%,
25%,0%,0%,0%,50%,0%,2%,0%,1%,0%,0%,0%,0%,0%,0%,3%,0%,1%,0%,16%,
1%,0%,0%,0%,1%,68%,24%,0%,0%,1%,0%,0%,1%,0%,0%,1%,0%,1%,0%,1%,
0%,1%,2%,0%,0%,0%,3%,0%,0%,0%,0%,1%,0%,0%,56%,8%,0%,0%,0%,26%,
9%,0%,0%,0%,6%,7%,75%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,1%,0%,1%,
0%,1%,9%,2%,1%,0%,1%,0%,14%,0%,5%,1%,1%,2%,1%,54%,1%,1%,0%,6%,
0%,4%,0%,1%,19%,0%,0%,0%,28%,1%,0%,0%,2%,0%,0%,27%,0%,0%,8%,7%,
1%,1%,0%,0%,64%,1%,7%,0%,0%,0%,0%,0%,1%,0%,0%,22%,0%,0%,0%,2%,
0%,0%,3%,1%,2%,0%,3%,0%,2%,0%,20%,1%,10%,0%,0%,48%,0%,1%,0%,6%,
1%,1%,45%,3%,2%,0%,1%,1%,5%,0%,10%,2%,0%,1%,1%,4%,1%,1%,0%,23%,
0%,1%,3%,18%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,49%,0%,0%,0%,0%,26%,
4%,1%,1%,0%,27%,0%,3%,4%,0%,0%,1%,3%,0%,0%,0%,43%,0%,0%,0%,10%,
12%,1%,2%,11%,1%,0%,6%,0%,1%,1%,0%,0%,1%,0%,26%,7%,0%,6%,0%,25%,
31%,0%,0%,0%,63%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,4%,
0%,0%,49%,0%,0%,0%,19%,0%,0%,0%,0%,10%,0%,0%,0%,10%,0%,7%,0%,4%,
0%,0%,0%,0%,1%,0%,1%,0%,3%,15%,0%,1%,6%,0%,0%,29%,0%,11%,0%,32%,
1%,0%,35%,0%,1%,1%,4%,0%,0%,0%,0%,2%,1%,0%,1%,3%,0%,47%,1%,2%,
0%,1%,0%,9%,11%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,78%,
90%,0%,0%,0%,0%,0%,8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
0%,0%,0%,7%,0%,0%,0%,0%,0%,0%,0%,0%,54%,0%,0%,1%,0%,0%,0%,35%,
1%,3%,0%,1%,64%,1%,6%,0%,1%,1%,0%,0%,1%,0%,0%,12%,0%,0%,0%,10%,
0%,43%,2%,12%,1%,0%,1%,0%,1%,0%,0%,1%,1%,1%,0%,29%,1%,0%,0%,6%,
0%,2%,0%,0%,60%,7%,2%,0%,0%,0%,0%,0%,17%,0%,0%,7%,0%,0%,0%,2%,
0%,1%,0%,1%,58%,0%,5%,0%,1%,5%,7%,0%,7%,0%,0%,4%,0%,1%,0%,9%,
0%,3%,0%,1%,48%,1%,10%,0%,0%,0%,0%,0%,3%,0%,0%,26%,0%,0%,0%,6%,
0%,1%,0%,0%,43%,5%,9%,0%,0%,3%,0%,0%,6%,0%,0%,24%,0%,0%,0%,7%,
0%,1%,17%,2%,18%,0%,1%,0%,0%,0%,0%,0%,14%,0%,0%,1%,0%,1%,27%,16%,
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,99%,0%,0%,
0%,0%,0%,11%,0%,0%,0%,0%,0%,0%,0%,0%,55%,0%,0%,0%,0%,0%,0%,31%,
0%,2%,0%,7%,1%,0%,0%,0%,0%,0%,0%,0%,57%,0%,0%,1%,0%,0%,0%,31%,
0%,0%,0%,5%,2%,0%,10%,0%,0%,32%,8%,0%,15%,0%,0%,1%,0%,0%,0%,24%,
0%,9%,0%,1%,0%,2%,1%,0%,0%,0%,0%,31%,0%,0%,1%,7%,14%,0%,0%,31%,
21%,0%,30%,0%,18%,2%,19%,0%,0%,0%,0%,0%,1%,0%,0%,2%,0%,1%,1%,3%,
0%,1%,69%,1%,0%,0%,2%,0%,0%,0%,1%,15%,0%,0%,1%,3%,1%,1%,0%,4%,
9%,1%,0%,1%,12%,1%,21%,0%,1%,1%,0%,0%,1%,0%,0%,22%,0%,1%,0%,29%,
0%,1%,1%,1%,2%,0%,0%,0%,21%,0%,0%,1%,1%,0%,0%,5%,0%,0%,0%,64%,
0%,2%,0%,3%,0%,1%,7%,0%,3%,0%,0%,0%,0%,0%,0%,22%,23%,0%,0%,36%,
0%,1%,0%,14%,0%,0%,1%,0%,0%,0%,0%,0%,0%,43%,0%,14%,0%,0%,0%,26%,
0%,1%,0%,0%,69%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,20%,0%,0%,0%,7%,
13%,0%,0%,3%,31%,0%,4%,1%,19%,12%,10%,0%,0%,0%,0%,0%,0%,0%,0%,5%,
1%,0%,35%,0%,1%,1%,4%,0%,0%,0%,0%,2%,1%,0%,1%,3%,0%,47%,1%,2%,
0%,0%,0%,1%,0%,0%,0%,42%,0%,0%,2%,1%,0%,0%,0%,0%,53%,0%,0%,1%,
89%,0%,0%,0%,0%,0%,9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,
1%,1%,0%,0%,0%,9%,4%,0%,0%,3%,0%,56%,0%,0%,13%,3%,0%,4%,4%,1%,
0%,1%,1%,21%,1%,0%,5%,0%,0%,0%,10%,0%,0%,0%,53%,0%,0%,0%,0%,6%,
0%,1%,0%,37%,0%,0%,2%,0%,0%,1%,1%,2%,0%,0%,5%,0%,47%,0%,0%,2%,
0%,1%,0%,18%,0%,4%,2%,0%,0%,2%,0%,17%,0%,0%,0%,0%,55%,0%,0%,1%,
0%,45%,0%,0%,1%,0%,0%,0%,1%,0%,0%,1%,1%,0%,0%,38%,0%,0%,0%,11%,
0%,32%,0%,1%,1%,0%,0%,0%,3%,1%,20%,3%,0%,0%,2%,20%,1%,0%,0%,15%,
0%,13%,0%,0%,7%,0%,0%,0%,1%,17%,0%,11%,1%,0%,0%,42%,0%,0%,0%,5%,
0%,0%,0%,0%,0%,1%,2%,0%,0%,4%,0%,40%,7%,0%,1%,2%,0%,40%,0%,1%,
1%,1%,0%,1%,0%,1%,17%,0%,4%,1%,8%,1%,1%,12%,4%,43%,1%,2%,0%,3%,
87%,0%,0%,0%,1%,0%,2%,0%,0%,0%,3%,0%,0%,0%,0%,5%,0%,1%,0%,1%,
0%,0%,8%,0%,0%,1%,1%,0%,0%,0%,0%,7%,0%,0%,64%,1%,0%,16%,0%,1%,
1%,0%,81%,0%,0%,0%,2%,0%,0%,0%,0%,1%,0%,0%,0%,2%,0%,8%,0%,2%,
0%,1%,0%,2%,18%,0%,1%,13%,1%,1%,57%,0%,0%,0%,0%,1%,0%,1%,0%,3%,
60%,0%,2%,4%,1%,0%,3%,1%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,27%,
1%,0%,1%,0%,0%,1%,50%,0%,0%,0%,0%,1%,0%,0%,15%,1%,0%,30%,0%,1%,
54%,0%,0%,0%,4%,0%,39%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,1%,0%,1%,
54%,0%,0%,0%,4%,0%,39%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,1%,0%,1%,
0%,0%,98%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,
0%,1%,0%,0%,1%,1%,1%,0%,1%,8%,0%,2%,1%,0%,72%,1%,0%,11%,0%,1%,
0%,0%,96%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,1%,
0%,25%,0%,6%,2%,0%,0%,0%,48%,0%,0%,0%,0%,15%,0%,0%,0%,0%,0%,1%,
12%,0%,41%,0%,4%,0%,29%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%,0%,0%,10%,
0%,1%,0%,0%,25%,1%,0%,0%,8%,0%,0%,0%,1%,0%,0%,0%,0%,0%,62%,1%,
1%,2%,1%,1%,1%,1%,2%,0%,1%,1%,0%,1%,1%,0%,82%,1%,0%,2%,0%,3%,
0%,0%,86%,3%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,0%,0%,4%,
0%,0%,93%,0%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,3%,0%,1%,
0%,1%,0%,0%,3%,75%,0%,0%,5%,0%,0%,0%,2%,0%,0%,11%,0%,0%,0%,1%,
0%,0%,0%,0%,0%,0%,0%,97%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
0%,0%,0%,0%,0%,0%,0%,97%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
0%,2%,0%,2%,0%,2%,2%,0%,1%,8%,1%,48%,0%,24%,1%,2%,1%,2%,1%,4%,
0%,1%,7%,10%,0%,0%,7%,0%,0%,49%,0%,6%,1%,0%,0%,3%,0%,1%,2%,11%,
0%,1%,0%,19%,0%,0%,0%,0%,0%,0%,0%,0%,0%,37%,0%,10%,0%,0%,0%,31%,
96%,0%,0%,0%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
0%,0%,92%,0%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,0%,0%,2%,
1%,0%,4%,0%,0%,1%,12%,0%,0%,0%,0%,7%,0%,0%,63%,0%,1%,9%,0%,1%,
1%,1%,79%,1%,1%,0%,2%,0%,0%,0%,1%,2%,0%,0%,1%,3%,0%,1%,0%,6%,
1%,0%,1%,1%,0%,0%,12%,28%,0%,3%,2%,11%,0%,0%,2%,1%,1%,35%,0%,1%,
0%,3%,1%,55%,2%,0%,4%,0%,1%,1%,1%,1%,1%,1%,1%,3%,1%,0%,0%,22%,
1%,0%,0%,0%,0%,0%,96%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,
0%,0%,93%,0%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,0%,0%,2%,
2%,1%,0%,0%,0%,4%,9%,0%,6%,37%,0%,1%,0%,0%,0%,12%,0%,1%,0%,27%,
0%,0%,0%,0%,66%,1%,1%,0%,0%,1%,0%,0%,3%,0%,0%,0%,0%,0%,25%,1%,
5%,0%,12%,0%,66%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,9%,1%,2%,
0%,1%,0%,1%,0%,18%,20%,0%,0%,26%,0%,9%,0%,0%,17%,0%,5%,1%,0%,1%,
0%,1%,0%,0%,0%,16%,28%,0%,0%,31%,0%,4%,0%,0%,17%,0%,0%,1%,0%,1%,
1%,2%,0%,1%,1%,2%,5%,0%,1%,67%,0%,4%,1%,0%,1%,9%,0%,1%,0%,4%,
0%,0%,0%,0%,0%,0%,0%,0%,5%,0%,0%,8%,0%,0%,82%,0%,0%,1%,0%,0%,
0%,1%,0%,1%,0%,1%,1%,0%,0%,5%,0%,36%,0%,49%,0%,1%,1%,1%,1%,1%,
19%,2%,0%,6%,8%,1%,12%,0%,0%,32%,0%,0%,1%,0%,0%,1%,0%,2%,0%,16%,
0%,73%,0%,1%,3%,0%,2%,0%,0%,14%,0%,0%,1%,0%,0%,2%,0%,0%,0%,3%,
0%,0%,76%,1%,0%,0%,0%,0%,0%,0%,0%,15%,0%,0%,0%,0%,6%,0%,0%,1%,
0%,1%,0%,0%,19%,0%,0%,0%,74%,1%,0%,0%,1%,0%,0%,2%,0%,0%,0%,2%,
0%,9%,0%,1%,16%,1%,0%,0%,17%,7%,0%,0%,23%,0%,1%,20%,0%,0%,0%,5%,
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,99%,0%,0%,0%,0%,0%,0%,
0%,0%,0%,0%,0%,3%,2%,0%,0%,0%,0%,27%,0%,0%,0%,0%,0%,65%,0%,0%,
1%,7%,0%,1%,3%,1%,10%,0%,0%,1%,0%,0%,1%,0%,17%,1%,0%,55%,0%,2%,
0%,0%,0%,0%,0%,0%,98%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
1%,1%,1%,2%,1%,0%,1%,17%,1%,1%,0%,0%,16%,0%,35%,9%,1%,3%,0%,12%,
0%,0%,0%,0%,0%,1%,1%,0%,0%,1%,0%,26%,9%,0%,0%,1%,0%,61%,0%,0%,
1%,1%,4%,0%,0%,4%,7%,0%,0%,0%,0%,9%,0%,0%,0%,48%,0%,1%,0%,23%,
0%,0%,0%,1%,3%,0%,1%,0%,0%,0%,0%,0%,7%,0%,0%,36%,10%,39%,0%,0%,
0%,1%,0%,2%,0%,0%,0%,2%,1%,0%,0%,0%,0%,45%,0%,1%,0%,0%,0%,46%,
37%,1%,0%,0%,0%,1%,24%,0%,0%,2%,0%,26%,0%,0%,0%,3%,0%,0%,0%,3%,
0%,0%,90%,0%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,2%,0%,1%,0%,3%,
1%,0%,1%,0%,25%,0%,0%,0%,44%,0%,0%,0%,1%,0%,0%,8%,0%,5%,0%,11%,
0%,1%,0%,4%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,40%,2%,0%,0%,0%,49%,
0%,0%,0%,8%,46%,0%,0%,0%,0%,0%,29%,0%,0%,0%,0%,3%,0%,0%,0%,11%,
0%,0%,3%,0%,0%,0%,92%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,
0%,1%,0%,0%,2%,1%,0%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,1%,93%,0%,
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,98%,0%,0%,1%,0%,0%,0%,0%,
0%,0%,93%,0%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,0%,0%,2%,
0%,1%,0%,92%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,
5%,0%,1%,0%,1%,0%,0%,0%,1%,1%,0%,10%,0%,0%,0%,19%,0%,2%,44%,15%,
0%,1%,0%,1%,2%,3%,0%,0%,0%,0%,0%,1%,12%,1%,0%,54%,9%,9%,4%,1%,
0%,0%,3%,0%,0%,0%,92%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,
0%,0%,94%,0%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,0%,0%,2%,
0%,0%,0%,2%,0%,0%,94%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,98%,0%,0%,0%,0%,0%,0%,0%,
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,99%,0%,0%,0%,0%,0%,0%,0%,
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,99%,0%,0%,0%,0%,0%,0%,0%,
0%,0%,0%,0%,1%,1%,1%,0%,0%,2%,0%,0%,82%,0%,1%,1%,0%,6%,4%,0%,
1%,0%,1%,1%,22%,0%,2%,0%,69%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,3%,
51%,0%,0%,1%,6%,0%,16%,0%,0%,1%,0%,0%,6%,0%,0%,2%,0%,1%,0%,15%,
0%,1%,1%,2%,0%,1%,1%,0%,0%,0%,0%,59%,0%,0%,0%,1%,14%,0%,0%,21%,
97%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
1%,0%,1%,1%,22%,0%,3%,0%,1%,0%,10%,0%,1%,0%,0%,2%,0%,42%,0%,16%,
1%,0%,0%,2%,4%,0%,6%,2%,0%,0%,11%,0%,0%,0%,0%,9%,0%,61%,0%,3%,
0%,1%,0%,0%,7%,0%,0%,0%,0%,0%,0%,0%,0%,43%,0%,15%,0%,0%,20%,12%,
0%,0%,0%,2%,0%,0%,6%,0%,0%,0%,10%,12%,0%,43%,0%,5%,1%,0%,0%,20%,
0%,0%,95%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,0%,0%,1%,
26%,0%,0%,1%,1%,1%,14%,0%,0%,1%,0%,0%,22%,0%,0%,3%,0%,1%,0%,28%,
35%,21%,1%,0%,1%,1%,2%,0%,3%,1%,0%,22%,0%,1%,1%,4%,1%,1%,1%,3%,
0%,1%,0%,1%,1%,7%,1%,0%,0%,0%,0%,1%,1%,0%,0%,3%,0%,0%,0%,82%,
25%,0%,0%,1%,1%,1%,14%,0%,0%,2%,0%,0%,23%,0%,0%,3%,0%,1%,0%,27%,
0%,0%,80%,1%,1%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,2%,0%,1%,0%,11%,
1%,1%,0%,0%,42%,0%,0%,0%,2%,0%,1%,0%,1%,0%,49%,0%,0%,0%,0%,2%,
0%,0%,1%,2%,1%,0%,1%,0%,1%,0%,50%,2%,0%,36%,0%,1%,0%,1%,0%,2%,
0%,1%,0%,5%,5%,0%,0%,0%,35%,0%,0%,0%,31%,0%,0%,3%,0%,0%,0%,18%,
0%,8%,2%,0%,0%,2%,1%,0%,0%,0%,0%,45%,0%,0%,0%,35%,0%,0%,0%,5%,
0%,0%,0%,1%,0%,3%,22%,0%,0%,4%,0%,21%,29%,0%,1%,2%,1%,9%,0%,7%,
0%,0%,0%,5%,0%,5%,25%,0%,0%,8%,0%,16%,0%,0%,0%,0%,39%,0%,0%,1%,
0%,13%,0%,3%,0%,2%,18%,0%,0%,2%,0%,36%,2%,0%,0%,2%,7%,0%,0%,13%,
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,89%,0%,0%,5%,0%,0%,0%,5%,
23%,0%,1%,1%,2%,0%,37%,0%,0%,1%,0%,1%,0%,0%,0%,4%,0%,1%,0%,27%,
1%,1%,54%,1%,2%,2%,7%,0%,0%,0%,1%,21%,0%,0%,1%,3%,1%,2%,1%,3%,
13%,2%,1%,41%,10%,1%,10%,1%,2%,3%,1%,0%,0%,6%,1%,1%,0%,1%,1%,6%,
42%,2%,0%,0%,2%,16%,0%,0%,2%,0%,0%,10%,0%,0%,0%,3%,0%,0%,10%,10%,
0%,0%,1%,6%,0%,1%,9%,0%,0%,0%,0%,23%,0%,27%,0%,5%,1%,0%,0%,26%,
0%,17%,0%,0%,0%,0%,0%,0%,82%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
0%,24%,1%,9%,0%,0%,1%,0%,1%,0%,0%,19%,0%,12%,1%,5%,6%,3%,0%,16%,
0%,2%,0%,11%,0%,2%,4%,0%,0%,4%,0%,17%,2%,1%,0%,12%,7%,1%,0%,36%,
1%,0%,1%,0%,8%,0%,4%,0%,1%,0%,7%,0%,3%,0%,0%,56%,0%,1%,0%,17%,
0%,1%,0%,0%,2%,1%,0%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,1%,93%,0%,
0%,17%,28%,1%,1%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,29%,0%,0%,0%,23%,
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,67%,0%,7%,22%,2%,0%,0%,
0%,0%,15%,1%,0%,0%,1%,0%,0%,0%,0%,40%,0%,0%,0%,1%,20%,1%,0%,20%,
35%,0%,0%,0%,0%,1%,17%,0%,0%,3%,0%,19%,0%,9%,1%,2%,0%,7%,0%,5%,
0%,6%,1%,0%,3%,2%,0%,0%,4%,1%,0%,1%,23%,0%,22%,21%,0%,1%,12%,2%,
0%,0%,91%,0%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,1%,0%,3%,
1%,0%,0%,0%,0%,38%,9%,0%,0%,6%,0%,18%,2%,0%,2%,9%,0%,11%,1%,2%,
0%,0%,0%,0%,0%,94%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
0%,0%,0%,0%,0%,0%,15%,0%,0%,59%,0%,6%,0%,0%,0%,0%,10%,8%,0%,0%,
0%,0%,0%,0%,8%,0%,0%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,87%,0%,
1%,2%,1%,1%,1%,1%,1%,0%,41%,1%,1%,18%,1%,1%,1%,13%,9%,1%,0%,5%,
2%,3%,0%,0%,17%,0%,1%,5%,9%,2%,0%,0%,35%,0%,7%,8%,0%,7%,0%,3%,
28%,0%,0%,0%,35%,0%,7%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%,24%,0%,1%,
0%,0%,91%,0%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,1%,0%,2%,
0%,0%,0%,0%,25%,1%,0%,0%,0%,0%,0%,0%,25%,0%,0%,1%,0%,11%,36%,0%,
0%,49%,2%,3%,0%,0%,4%,0%,0%,0%,0%,0%,1%,7%,18%,4%,0%,0%,0%,10%,
0%,18%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7%,0%,0%,64%,1%,0%,9%,0%,0%,
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,90%,0%,0%,7%,0%,0%,0%,1%,
0%,0%,0%,1%,15%,0%,0%,0%,68%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,14%,
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,97%,0%,0%,0%,0%,1%,
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,97%,0%,0%,0%,0%,1%,
1%,1%,76%,1%,1%,0%,3%,0%,0%,0%,1%,2%,0%,0%,1%,4%,1%,2%,0%,7%,
0%,2%,1%,1%,3%,2%,1%,0%,1%,1%,0%,2%,1%,12%,1%,2%,0%,2%,64%,3%,
0%,0%,0%,0%,32%,0%,2%,0%,0%,63%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,
0%,0%,0%,0%,23%,0%,0%,0%,0%,74%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
0%,1%,0%,0%,3%,3%,0%,0%,7%,1%,0%,68%,3%,0%,1%,8%,0%,0%,4%,1%,
1%,6%,1%,22%,0%,2%,4%,3%,1%,1%,0%,20%,0%,27%,3%,1%,1%,1%,2%,3%,
67%,3%,0%,1%,2%,0%,12%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%,0%,0%,11%,
0%,0%,0%,0%,1%,15%,31%,0%,0%,1%,0%,0%,20%,0%,0%,1%,0%,27%,0%,1%,
0%,0%,0%,1%,1%,0%,34%,0%,0%,0%,49%,0%,0%,0%,0%,1%,0%,0%,0%,12%,
0%,0%,0%,1%,0%,3%,25%,0%,0%,1%,0%,49%,0%,0%,0%,11%,6%,1%,0%,2%,
0%,5%,8%,2%,2%,1%,3%,0%,0%,0%,0%,0%,33%,0%,14%,19%,0%,1%,0%,11%,
0%,0%,0%,2%,0%,0%,1%,0%,0%,0%,0%,0%,3%,23%,0%,23%,3%,3%,0%,40%,
0%,0%,0%,2%,0%,0%,1%,0%,0%,0%,0%,0%,3%,23%,0%,23%,3%,3%,0%,40%,
0%,5%,1%,2%,1%,1%,4%,0%,0%,1%,0%,7%,1%,0%,1%,19%,4%,1%,0%,53%,
0%,2%,0%,0%,14%,1%,1%,0%,1%,3%,0%,3%,35%,0%,0%,29%,0%,0%,1%,11%,
0%,0%,5%,3%,1%,0%,2%,0%,0%,0%,3%,31%,0%,0%,0%,40%,0%,1%,1%,12%,
0%,8%,1%,1%,1%,0%,1%,62%,1%,1%,0%,3%,4%,0%,1%,4%,1%,1%,0%,9%,
0%,1%,0%,0%,11%,4%,0%,0%,0%,0%,0%,7%,2%,0%,0%,69%,0%,1%,2%,1%,
0%,0%,93%,0%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,3%,0%,1%,
